Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
2.166666666666666519e+00,2.942811071597704995e+02,3.168344507370728138e+02,9.529979791315233983e-01,2.940822005668889574e+02,1.388516420975742238e-01
2.200000000000000178e+00,2.940822005668889574e+02,3.168383071840632397e+02,9.522579903479400087e-01,2.940413894615634831e+02,1.387230938645581946e-01
2.233333333333333393e+00,2.940413894615634831e+02,3.168388153708201003e+02,9.515435738768227569e-01,2.940360115415996347e+02,1.387061543059961710e-01
2.266666666666666607e+00,2.940360115415996347e+02,3.168385828576997483e+02,9.508542333762679544e-01,2.940384721270731916e+02,1.387139047433412209e-01
2.299999999999999822e+00,2.940384721270731916e+02,3.168381959419807572e+02,9.501891756337254025e-01,2.940425666882584892e+02,1.387268019339761016e-01
2.333333333333333481e+00,2.940425666882584892e+02,3.168377861118649435e+02,9.495475647297658695e-01,2.940469037425634724e+02,1.387404629378347354e-01
2.366666666666666696e+00,2.940469037425634724e+02,3.168373825322884727e+02,9.489285783396412821e-01,2.940511746501225048e+02,1.387539155903837473e-01
2.399999999999999911e+00,2.940511746501225048e+02,3.168369913606812247e+02,9.483314195740607522e-01,2.940553142495266457e+02,1.387669546439586898e-01
2.433333333333333126e+00,2.940553142495266457e+02,3.168366135926806351e+02,9.477553188516323335e-01,2.940593120043769773e+02,1.387795469106468671e-01
2.466666666666666785e+00,2.940593120043769773e+02,3.168362490765881603e+02,9.471995335578670128e-01,2.940631695200330569e+02,1.387916974470608245e-01
2.500000000000000000e+00,2.940631695200330569e+02,3.168358974159763193e+02,9.466633472334252675e-01,2.940668909917152405e+02,1.388034194674555299e-01
2.533333333333333215e+00,2.940668909917152405e+02,3.168355581722412921e+02,9.461460686825993172e-01,2.940704810609773290e+02,1.388147275919564272e-01
2.566666666666666430e+00,2.940704810609773290e+02,3.168352309097057287e+02,9.456470310887731268e-01,2.940739443384037486e+02,1.388256363431437379e-01
